2026-09-15 20:36:53 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 20:37:11 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 20:37:13 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 20:41:30 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 20:41:32 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 20:42:50 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 20:42:52 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 21:00:00 | INFO     | computer.py:25 | <module>() | ✅ pyautogui chargé
2026-09-15 21:00:18 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/open-notepad
2026-09-15 21:00:18 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: open_notepad
2026-09-15 21:00:18 | DEBUG    | computer.py:73 | open_notepad() | 💻 OS détecté: windows
2026-09-15 21:00:19 | INFO     | computer.py:85 | open_notepad() | 🚀 Notepad lancé
2026-09-15 21:00:21 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:00 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/write-text
2026-09-15 21:01:00 | DEBUG    | error_handler.py:206 | wrapper() | 📦 JSON: {'text': 'bonjour.'}
2026-09-15 21:01:00 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: write_text
2026-09-15 21:01:00 | DEBUG    | computer.py:115 | write_text() | ✍️ Écriture: bonjour....
2026-09-15 21:01:01 | INFO     | computer.py:118 | write_text() | ✅ 8 caractères écrits
2026-09-15 21:01:01 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
2026-09-15 21:01:15 | INFO     | error_handler.py:204 | wrapper() | 📥 REQUÊTE: POST /api/computer/press-enter
2026-09-15 21:01:15 | INFO     | error_handler.py:257 | log_computer_action() | 🖥️ ACTION: press_enter
2026-09-15 21:01:15 | INFO     | computer.py:141 | press_enter() | ✅ Entrée pressée
2026-09-15 21:01:15 | INFO     | error_handler.py:214 | wrapper() | ✅ SUCCÈS: 200
